"","sample_size","effect_size","power"
"148",4.30577995961261,1.77,0.6
"149",4.27264748204708,1.78,0.6
"150",4.24009842363894,1.79,0.6
"151",4.20811963664861,1.8,0.6
"152",4.17669833562649,1.81,0.6
"153",4.14582208574114,1.82,0.6
"154",4.11547879147219,1.83,0.6
"155",4.08565668564022,1.84,0.6
"156",4.05634431874685,1.85,0.6
"157",4.02753054859927,1.86,0.6
"158",3.99920453019432,1.87,0.6
"159",3.97135561714952,1.88,0.6
"160",3.94397371826013,1.89,0.6
"161",3.9170483268528,1.9,0.6
"162",3.89056979009465,1.91,0.6
"163",3.86452862095658,1.92,0.6
"164",3.83891564656518,1.93,0.6
"165",3.81372196234244,1.94,0.6
"166",3.7889388916917,1.95,0.6
"167",3.76455795732924,1.96,0.6
"168",3.7405708642799,1.97,0.6
"169",3.71696949202232,1.98,0.6
"170",3.69374589262199,1.99,0.6
"171",3.67090015331026,2,0.6
"172",3.64840876564344,2.01,0.6
"173",3.62627215435839,2.02,0.6
"174",3.60448314744851,2.03,0.6
"175",3.58301908973928,2.04,0.6
"176",3.56194604196047,2.05,0.6
"177",3.54113243784133,2.06,0.6
"178",3.52066518152786,2.07,0.6
"179",3.50051184664656,2.08,0.6
"180",3.48066623746692,2.09,0.6
"181",3.46112238451594,2.1,0.6
"182",3.44187448958976,2.11,0.6
"183",3.42291688170457,2.12,0.6
"184",3.40424399164294,2.13,0.6
"185",3.38585482694596,2.14,0.6
"186",3.36773539425986,2.15,0.6
"187",3.34988419607479,2.16,0.6
"188",3.3322961779913,2.17,0.6
"189",3.31496634766399,2.18,0.6
"190",3.29788980709669,2.19,0.6
"191",3.28103602332763,2.2,0.6
"192",3.2644974847477,2.21,0.6
"193",3.24814371656032,2.22,0.6
"194",3.23202849086888,2.23,0.6
"195",3.21614580576568,2.24,0.6
"196",3.20048722006172,2.25,0.6
"197",3.18505471321378,2.26,0.6
"198",3.16984009285171,2.27,0.6
"199",3.15484190453305,2.28,0.6
"200",3.1400517351724,2.29,0.6
"201",3.1254674645327,2.3,0.6
"202",3.11108545688028,2.31,0.6
"203",3.09690208384617,2.32,0.6
"204",3.08289646988811,2.33,0.6
"205",3.06914044352852,2.34,0.6
"206",3.05552083240109,2.35,0.6
"207",3.04209108507122,2.36,0.6
"208",3.02884558052755,2.37,0.6
"209",3.0157798248911,2.38,0.6
"210",3.00288997719063,2.39,0.6
"211",2.99017258346058,2.4,0.6
"212",2.97762378459709,2.41,0.6
"213",2.96524222280154,2.42,0.6
"214",2.95302362712835,2.43,0.6
"215",2.9409653168542,2.44,0.6
"216",2.92906456360181,2.45,0.6
"217",2.91729128134013,2.46,0.6
"218",2.90574195178489,2.47,0.6
"219",2.89428935570876,2.48,0.6
"220",2.8829880127289,2.49,0.6
"221",2.87183336223858,2.5,0.6
"222",2.86082189497561,2.51,0.6
"223",2.84995067190155,2.52,0.6
"224",2.8392170706082,2.53,0.6
"225",2.82861865280313,2.54,0.6
"226",2.81815058662836,2.55,0.6
"227",2.80781812042001,2.56,0.6
"228",2.79761163743116,2.57,0.6
"229",2.78750366072544,2.58,0.6
"230",2.77759134506652,2.59,0.6
"231",2.76774917030933,2.6,0.6
"232",2.75803155575199,2.61,0.6
"233",2.7484342700801,2.62,0.6
"234",2.73895428706082,2.63,0.6
"235",2.7295891914379,2.64,0.6
"236",2.72033688329377,2.65,0.6
"237",2.7111954324889,2.66,0.6
"238",2.7021425800472,2.67,0.6
"239",2.69326220333814,2.68,0.6
"240",2.68440650270661,2.69,0.6
"241",2.67572485439113,2.7,0.6
"242",2.66709894918711,2.71,0.6
"243",2.6585803964418,2.72,0.6
"244",2.65016395250617,2.73,0.6
"245",2.64184637258686,2.74,0.6
"246",2.63362536163347,2.75,0.6
"247",2.62549907782717,2.76,0.6
"248",2.61746590075897,2.77,0.6
"249",2.60950068845677,2.78,0.6
"250",2.60169456202817,2.79,0.6
"251",2.59392269258656,2.8,0.6
"252",2.58624208839149,2.81,0.6
"253",2.57865591320596,2.82,0.6
"254",2.57114560596622,2.83,0.6
"255",2.56372215575325,2.84,0.6
"256",2.55638235903462,2.85,0.6
"257",2.54912414047466,2.86,0.6
"258",2.54194592873221,2.87,0.6
"259",2.53483572410883,2.88,0.6
"260",2.52785256174513,2.89,0.6
"261",2.52089415976808,2.9,0.6
"262",2.51401635382015,2.91,0.6
"263",2.50721567140424,2.92,0.6
"264",2.50048966200329,2.93,0.6
"265",2.49383803656049,2.94,0.6
"266",2.48725503170723,2.95,0.6
"267",2.48074288410038,2.96,0.6
"268",2.47429991425498,2.97,0.6
"269",2.46792316186898,2.98,0.6
"270",2.46158783731435,2.99,0.6
"271",2.45539160551054,3,0.6
"272",2.44920599785239,3.01,0.6
"273",2.44308806464251,3.02,0.6
"274",2.43703519474507,3.03,0.6
"275",2.43104555560143,3.04,0.6
"276",2.42511775536499,3.05,0.6
"277",2.41925083591973,3.06,0.6
"278",2.41344326261918,3.07,0.6
"279",2.40769424998025,3.08,0.6
"280",2.40197461144096,3.09,0.6
"281",2.39638676262623,3.1,0.6
"282",2.39080145787979,3.11,0.6
"283",2.38527551376567,3.12,0.6
"284",2.37980632731912,3.13,0.6
"285",2.37439217276219,3.14,0.6
"286",2.36903179919948,3.15,0.6
"287",2.36372421334866,3.16,0.6
"288",2.35846860657699,3.17,0.6
"289",2.35325620601949,3.18,0.6
"290",2.34813663497716,3.19,0.6
"291",2.34301889888488,3.2,0.6
"292",2.33795692647216,3.21,0.6
"293",2.3329467407368,3.22,0.6
"294",2.3279860007691,3.23,0.6
"295",2.32307321373451,3.24,0.6
"296",2.31820732451499,3.25,0.6
"297",2.31338858051032,3.26,0.6
"298",2.30863841764123,3.27,0.6
